ValidStart,hasDry,lag1,lag2
2015-12-01,20.704622553588063,22.520015532774153,29.97036657346997
2015-12-08,19.002295744019882,20.704622553588063,22.520015532774153
2015-12-15,19.2004846225536,19.002295744019882,20.704622553588063
2015-12-22,18.925427151289227,19.2004846225536,19.002295744019882
2015-12-29,18.258446722584658,18.925427151289227,19.2004846225536
2016-01-05,15.606321839080465,18.258446722584658,18.925427151289227
2016-01-12,14.230879155017101,15.606321839080465,18.258446722584658
2016-01-19,13.83201304753029,14.230879155017101,15.606321839080465
2016-01-26,12.625824790307528,13.83201304753029,14.230879155017101
2016-02-02,13.31794967381174,12.625824790307528,13.83201304753029
2016-02-09,13.353752718235487,13.31794967381174,12.625824790307528
2016-02-16,16.413873873873857,13.353752718235487,13.31794967381174
2016-02-23,12.89787511649581,16.413873873873857,13.353752718235487
2016-03-01,13.986790928859886,12.89787511649581,16.413873873873857
2016-03-08,17.52764833799316,13.986790928859886,12.89787511649581
2016-03-15,15.001267474370923,17.52764833799316,13.986790928859886
2016-03-22,16.469422180801484,15.001267474370923,17.52764833799316
2016-03-29,22.321258154706406,16.469422180801484,15.001267474370923
2016-04-05,22.925358807082954,22.321258154706406,16.469422180801484
2016-04-12,25.4704162783473,22.925358807082954,22.321258154706406
2016-04-19,31.26647095371231,25.4704162783473,22.925358807082954
2016-04-26,33.624299471885685,31.26647095371231,25.4704162783473
2016-05-03,26.291860826343594,33.624299471885685,31.26647095371231
2016-05-10,20.973942218080133,26.291860826343594,33.624299471885685
2016-05-17,19.3145542093818,20.973942218080133,26.291860826343594
2016-05-24,20.640024852438646,19.3145542093818,20.973942218080133
2016-05-31,21.721662006834425,20.640024852438646,19.3145542093818
2016-06-07,23.502273998136054,21.721662006834425,20.640024852438646
2016-06-14,30.08839701770739,23.502273998136054,21.721662006834425
2016-06-21,34.12174899036971,30.08839701770739,23.502273998136054
2016-06-28,35.38884125504813,34.12174899036971,30.08839701770739
2016-07-05,35.605489282385825,35.38884125504813,34.12174899036971
2016-07-12,36.23117117117117,35.605489282385825,35.38884125504813
2016-07-19,39.48855855855856,36.23117117117117,35.605489282385825
2016-07-26,41.29730972351665,39.48855855855856,36.23117117117117
2016-08-02,39.79534638086361,41.29730972351665,39.48855855855856
2016-08-09,39.99682199440825,39.79534638086361,41.29730972351665
2016-08-16,34.961109040074604,39.99682199440825,39.79534638086361
2016-08-23,32.48189499844673,34.961109040074604,39.99682199440825
2016-08-30,32.39460391425908,32.48189499844673,34.961109040074604
2016-09-06,30.58621000310656,32.39460391425908,32.48189499844673
2016-09-13,33.277200994097555,30.58621000310656,32.39460391425908
2016-09-20,33.5019571295433,33.277200994097555,30.58621000310656
2016-09-27,39.08190431811123,33.5019571295433,33.277200994097555
2016-10-04,33.74605467536498,39.08190431811123,33.5019571295433
2016-10-11,37.618602050326196,33.74605467536498,39.08190431811123
2016-10-18,41.57420938179556,37.618602050326196,33.74605467536498
2016-10-25,41.160422491456956,41.57420938179556,37.618602050326196
2016-11-01,45.072696489593014,41.160422491456956,41.57420938179556
2016-11-08,46.86723827275556,45.072696489593014,41.160422491456956
2016-11-15,52.128769804286996,46.86723827275556,45.072696489593014
2016-11-22,56.73677539608573,52.128769804286996,46.86723827275556
2016-11-29,57.69531220876045,56.73677539608573,52.128769804286996
2016-12-06,56.43667598633117,57.69531220876045,56.73677539608573
2016-12-13,55.72327741534638,56.43667598633117,57.69531220876045
2016-12-20,56.31179558869218,55.72327741534638,56.43667598633117
2016-12-27,53.42954022988509,56.31179558869218,55.72327741534638
2017-01-03,46.44227399813608,53.42954022988509,56.31179558869218
2017-01-10,44.29797141969553,46.44227399813608,53.42954022988509
2017-01-17,41.34673811742778,44.29797141969553,46.44227399813608
2017-01-24,32.5160422491457,41.34673811742778,44.29797141969553
2017-01-31,32.011950916433655,32.5160422491457,41.34673811742778
2017-02-07,32.04501087294192,32.011950916433655,32.5160422491457
2017-02-14,33.59944392668529,32.04501087294192,32.011950916433655
2017-02-21,35.923243243243235,33.59944392668529,32.04501087294192
2017-02-28,43.06942218080147,35.923243243243235,33.59944392668529
2017-03-07,43.16322460391429,43.06942218080147,35.923243243243235
2017-03-14,40.27921714818266,43.16322460391429,43.06942218080147
2017-03-21,43.724939422180796,40.27921714818266,43.16322460391429
2017-03-28,43.05351040695868,43.724939422180796,40.27921714818266
2017-04-04,36.43932898415663,43.05351040695868,43.724939422180796
2017-04-11,32.66934451693072,36.43932898415663,43.05351040695868
2017-04-18,32.23005902454177,32.66934451693072,36.43932898415663
2017-04-25,24.898341099720408,32.23005902454177,32.66934451693072
2017-05-02,16.450456663560136,24.898341099720408,32.23005902454177
2017-05-09,15.682379621000324,16.450456663560136,24.898341099720408
2017-05-16,16.324405094749924,15.682379621000324,16.450456663560136
2017-05-23,12.06758931345139,16.324405094749924,15.682379621000324
2017-05-30,13.838036657347,12.06758931345139,16.324405094749924
2017-06-06,11.628064616340483,13.838036657347,12.06758931345139
2017-06-13,17.105526561043803,11.628064616340483,13.838036657347
2017-06-20,14.723432743087923,17.105526561043803,11.628064616340483
2017-06-27,16.811018949984472,14.723432743087923,17.105526561043803
2017-07-04,15.69759863311586,16.811018949984472,14.723432743087923
2017-07-11,15.34085740913327,15.69759863311586,16.811018949984472
2017-07-18,20.395731593662624,15.34085740913327,15.69759863311586
2017-07-25,23.63771046908979,20.395731593662624,15.34085740913327
2017-08-01,23.55195091643368,23.63771046908979,20.395731593662624
2017-08-08,22.491509785647697,23.55195091643368,23.63771046908979
2017-08-15,20.98139173656414,22.491509785647697,23.55195091643368
2017-08-22,20.50465051258152,20.98139173656414,22.491509785647697
2017-08-29,20.48747747747746,20.50465051258152,20.98139173656414
2017-09-05,19.638480894687792,20.48747747747746,20.50465051258152
2017-09-12,24.776098167132638,19.638480894687792,20.48747747747746
2017-09-19,28.766977322149707,24.776098167132638,19.638480894687792
2017-09-26,29.914824479652076,28.766977322149707,24.776098167132638
2017-10-03,33.84983845914883,29.914824479652076,28.766977322149707
2017-10-10,34.288067722895285,33.84983845914883,29.914824479652076
2017-10-17,34.17861447654551,34.288067722895285,33.84983845914883
2017-10-24,32.698049083566325,34.17861447654551,34.288067722895285
2017-10-31,26.766551724137944,32.698049083566325,34.17861447654551
2017-11-07,25.79608884746813,26.766551724137944,32.698049083566325
2017-11-14,29.473541472506987,25.79608884746813,26.766551724137944
2017-11-21,32.511776949363174,29.473541472506987,25.79608884746813
2017-11-28,38.05131096613857,32.511776949363174,29.473541472506987
2017-12-05,45.749937868903395,38.05131096613857,32.511776949363174
2017-12-12,51.98738428083252,45.749937868903395,38.05131096613857
2017-12-19,55.09869835352591,51.98738428083252,45.749937868903395
2017-12-26,50.77265299782536,55.09869835352591,51.98738428083252
2018-01-02,53.72971109040079,50.77265299782536,55.09869835352591
2018-01-09,56.13355700528114,53.72971109040079,50.77265299782536
2018-01-16,58.3114942528735,56.13355700528114,53.72971109040079
2018-01-23,59.38059335197272,58.3114942528735,56.13355700528114
2018-01-30,60.455461323392356,59.38059335197272,58.3114942528735
2018-02-06,59.326185150667904,60.455461323392356,59.38059335197272
2018-02-13,48.590254737496174,59.326185150667904,60.455461323392356
2018-02-20,45.945728487107836,48.590254737496174,59.326185150667904
2018-02-27,40.064762348555476,45.945728487107836,48.590254737496174
2018-03-06,37.12939111525321,40.064762348555476,45.945728487107836
2018-03-13,36.766241068654885,37.12939111525321,40.064762348555476
2018-03-20,34.58670705187949,36.766241068654885,37.12939111525321
2018-03-27,34.347325256290716,34.58670705187949,36.766241068654885
2018-04-03,32.73237962100029,34.347325256290716,34.58670705187949
2018-04-10,33.519583721652666,32.73237962100029,34.347325256290716
2018-04-17,28.6742187014601,33.519583721652666,32.73237962100029
2018-04-24,27.810102516309417,28.6742187014601,33.519583721652666
2018-05-01,28.226073314694034,27.810102516309417,28.6742187014601
2018-05-08,30.123178005591782,28.226073314694034,27.810102516309417
2018-05-15,30.85783473128306,30.123178005591782,28.226073314694034
2018-05-22,26.605330848089487,30.85783473128306,30.123178005591782
2018-05-29,25.053547685616646,26.605330848089487,30.85783473128306
2018-06-05,29.809897483690587,25.053547685616646,26.605330848089487
2018-06-12,31.013802423112764,29.809897483690587,25.053547685616646
2018-06-19,31.5666200683442,31.013802423112764,29.809897483690587
