ValidStart,hasDrought_land_area,lag1,lag2
2015-10-27,53663.769101032965,58392.029832893684,53609.24495858127
2015-11-03,48513.41536464844,53663.769101032965,58392.029832893684
2015-11-10,45739.5972278002,48513.41536464844,53663.769101032965
2015-11-17,44363.20612176727,45739.5972278002,48513.41536464844
2015-11-24,39609.37111010578,44363.20612176727,45739.5972278002
2015-12-01,35761.439972414475,39609.37111010578,44363.20612176727
2015-12-08,34370.59315136899,35761.439972414475,39609.37111010578
2015-12-15,33859.41095917229,34370.59315136899,35761.439972414475
2015-12-22,33108.09242679837,33859.41095917229,34370.59315136899
2015-12-29,32398.668695942717,33108.09242679837,33859.41095917229
2016-01-05,30961.395154203463,32398.668695942717,33108.09242679837
2016-01-12,29218.832365519578,30961.395154203463,32398.668695942717
2016-01-19,28578.445710472937,29218.832365519578,30961.395154203463
2016-01-26,27903.596315385807,28578.445710472937,29218.832365519578
2016-02-02,28731.76865012443,27903.596315385807,28578.445710472937
2016-02-09,28972.232908036684,28731.76865012443,27903.596315385807
2016-02-16,31773.777038266955,28972.232908036684,28731.76865012443
2016-02-23,29629.70335514934,31773.777038266955,28972.232908036684
2016-03-01,31573.444287146845,29629.70335514934,31773.777038266955
2016-03-08,34706.45614423457,31573.444287146845,29629.70335514934
2016-03-15,34030.416974611064,34706.45614423457,31573.444287146845
2016-03-22,35216.44820169876,34030.416974611064,34706.45614423457
2016-03-29,39040.57501488484,35216.44820169876,34030.416974611064
2016-04-05,38074.59117859675,39040.57501488484,35216.44820169876
2016-04-12,40013.89115998442,38074.59117859675,39040.57501488484
2016-04-19,40070.50617823268,40013.89115998442,38074.59117859675
2016-04-26,40407.71374297449,40070.50617823268,40013.89115998442
2016-05-03,35048.74122778782,40407.71374297449,40070.50617823268
2016-05-10,31822.964087445518,35048.74122778782,40407.71374297449
2016-05-17,30446.34969657124,31822.964087445518,35048.74122778782
2016-05-24,31744.204136294367,30446.34969657124,31822.964087445518
2016-05-31,32346.927602538904,31744.204136294367,30446.34969657124
2016-06-07,35103.18415731173,32346.927602538904,31744.204136294367
2016-06-14,39050.467289807086,35103.18415731173,32346.927602538904
2016-06-21,42955.33460587747,39050.467289807086,35103.18415731173
2016-06-28,44940.367868855,42955.33460587747,39050.467289807086
2016-07-05,44838.24918120723,44940.367868855,42955.33460587747
2016-07-12,45008.73946376477,44838.24918120723,44940.367868855
2016-07-19,48660.20074790909,45008.73946376477,44838.24918120723
2016-07-26,50913.28995206595,48660.20074790909,45008.73946376477
2016-08-02,50133.73395836344,50913.28995206595,48660.20074790909
2016-08-09,50979.30141033905,50133.73395836344,50913.28995206595
2016-08-16,46953.524303251346,50979.30141033905,50133.73395836344
2016-08-23,41930.40875774116,46953.524303251346,50979.30141033905
2016-08-30,41618.0442833603,41930.40875774116,46953.524303251346
2016-09-06,40771.553023133194,41618.0442833603,41930.40875774116
2016-09-13,40765.65435882078,40771.553023133194,41618.0442833603
2016-09-20,41544.77160548849,40765.65435882078,40771.553023133194
2016-09-27,42772.261896627264,41544.77160548849,40765.65435882078
2016-10-04,40366.1351366926,42772.261896627264,41544.77160548849
2016-10-11,41062.826961779756,40366.1351366926,42772.261896627264
2016-10-18,42542.6682360641,41062.826961779756,40366.1351366926
2016-10-25,42494.84678410704,42542.6682360641,41062.826961779756
2016-11-01,45646.27899575603,42494.84678410704,42542.6682360641
2016-11-08,46574.32500519602,45646.27899575603,42494.84678410704
2016-11-15,49417.45804829189,46574.32500519602,45646.27899575603
2016-11-22,52184.49270894516,49417.45804829189,46574.32500519602
2016-11-29,53393.4825546235,52184.49270894516,49417.45804829189
2016-12-06,52039.92241886438,53393.4825546235,52184.49270894516
2016-12-13,51484.153082121935,52039.92241886438,53393.4825546235
2016-12-20,51945.68345896393,51484.153082121935,52039.92241886438
2016-12-27,48242.42800051025,51945.68345896393,51484.153082121935
2017-01-03,44130.41687767891,48242.42800051025,51945.68345896393
2017-01-10,40017.37484257308,44130.41687767891,48242.42800051025
2017-01-17,38038.0461750747,40017.37484257308,44130.41687767891
2017-01-24,31821.396014178572,38038.0461750747,40017.37484257308
2017-01-31,31044.22074699128,31821.396014178572,38038.0461750747
2017-02-07,30173.35549910392,31044.22074699128,31821.396014178572
2017-02-14,30806.845173764723,30173.35549910392,31044.22074699128
2017-02-21,34652.43262799006,30806.845173764723,30173.35549910392
2017-02-28,37266.656740494676,34652.43262799006,30806.845173764723
2017-03-07,35625.24880256998,37266.656740494676,34652.43262799006
2017-03-14,34781.76381191659,35625.24880256998,37266.656740494676
2017-03-21,38855.620585917844,34781.76381191659,35625.24880256998
2017-03-28,38254.9898216926,38855.620585917844,34781.76381191659
2017-04-04,32882.17574961726,38254.9898216926,38855.620585917844
2017-04-11,30389.349106701902,32882.17574961726,38254.9898216926
2017-04-18,30677.761121132524,30389.349106701902,32882.17574961726
2017-04-25,25801.078535485383,30677.761121132524,30389.349106701902
2017-05-02,18914.778913413185,25801.078535485383,30677.761121132524
2017-05-09,19695.056785880544,18914.778913413185,25801.078535485383
2017-05-16,21041.875045902318,19695.056785880544,18914.778913413185
2017-05-23,18919.26824638456,21041.875045902318,19695.056785880544
2017-05-30,22618.07299458308,18919.26824638456,21041.875045902318
2017-06-06,21473.774068929677,22618.07299458308,18919.26824638456
2017-06-13,24339.584337233984,21473.774068929677,22618.07299458308
2017-06-20,24576.10639240823,24339.584337233984,21473.774068929677
2017-06-27,25492.048822209068,24576.10639240823,24339.584337233984
2017-07-04,26198.212851826393,25492.048822209068,24576.10639240823
2017-07-11,26904.775705528977,26198.212851826393,25492.048822209068
2017-07-18,34344.399467977564,26904.775705528977,26198.212851826393
2017-07-25,37186.71806611075,34344.399467977564,26904.775705528977
2017-08-01,35207.25670435281,37186.71806611075,34344.399467977564
2017-08-08,33406.30458644364,35207.25670435281,37186.71806611075
2017-08-15,27908.56857280024,33406.30458644364,35207.25670435281
2017-08-22,27323.122776754815,27908.56857280024,33406.30458644364
2017-08-29,28365.7394301618,27323.122776754815,27908.56857280024
2017-09-05,29293.680601947704,28365.7394301618,27323.122776754815
2017-09-12,31322.870122053522,29293.680601947704,28365.7394301618
2017-09-19,34141.74061615428,31322.870122053522,29293.680601947704
2017-09-26,34237.24179902301,34141.74061615428,31322.870122053522
2017-10-03,35950.13523190729,34237.24179902301,34141.74061615428
2017-10-10,35225.47368133167,35950.13523190729,34237.24179902301
2017-10-17,34922.937381661526,35225.47368133167,35950.13523190729
